baseline,estimate,upper,lower,NL,Model,dropped
25,-0.24833786007094114,-0.12858001455097862,-0.36809570559090365,8,TNL8,HND
30,-0.29533491367774084,-0.1469038822532142,-0.44376594510226747,8,TNL8,HND
0,0.06278010603799719,0.1356958171003529,-0.010135605024358521,9,TNL9,HND
25,-0.15143324801661345,-0.016414662933215363,-0.28645183310001154,9,TNL9,HND
30,-0.1942759188275355,-0.028967999231851976,-0.35958383842321906,9,TNL9,HND
0,-0.11413066485124952,-0.018327954386889375,-0.20993337531560968,10,TNL10,HND
25,-0.29404431719131213,-0.14270732837191594,-0.44538130601070836,10,TNL10,HND
30,-0.3300270476593246,-0.14824408158590274,-0.5118100137327465,10,TNL10,HND
0,-7.028172398397502e-4,0.06033960012803159,-0.061745234607711086,8,TNL8,HRV
25,-0.28737666595752154,-0.16518755590979714,-0.4095657760052459,8,TNL8,HRV
30,-0.3447114357010579,-0.19340463726579005,-0.49601823413632573,8,TNL8,HRV
0,0.07907757914667662,0.15205259264518026,0.006102565648172992,9,TNL9,HRV
25,-0.19952815676126295,-0.06208102187830014,-0.3369752916442258,9,TNL9,HRV
30,-0.25524930394285095,-0.0869867800327474,-0.4235118278529545,9,TNL9,HRV
0,-0.09418929512620702,0.001361695937486293,-0.18974028618990035,10,TNL10,HRV
25,-0.33079615314476973,-0.178075219465898,-0.4835170868236415,10,TNL10,HRV
30,-0.3781175247484823,-0.19471278017899646,-0.5615222693179682,10,TNL10,HRV
0,-0.0031227103740278962,0.05798867737811643,-0.06423409812617221,8,TNL8,HUN
